Title,Authors,Abstract,Notes,Inc/Exc,Year,Source title,Volume,Issue,Database
Designing E-Learning games for rural children in India: A format for balancinq learning with fun,"Kam M., Agarwal A., Kumar A., Lal S., Mathur A., Tewari A., Canny J.","Poor literacy remains a barrier to economic empowerment in the developing world. Of particular importance is fluency in a widely spoken ""world language"" such as English, which is typically a second language for these low-income learners. We make the case that mobile games on cellphones is an appropriate solution in the typical ecologies of developing regions. The challenge is to design e-learning games that are both educational and pleasurable for our target learners, who have limited familiarity with high technology. We propose the receptive-practice-activation cycle that could be used as the conceptual model for the designs. We then report how this format could be refined, based on our experiences in the field with three games that have collectively undergone nine rounds of iterations. In particular, it appears that maintaining a distinction between learning and fun to some extent is necessary for effective designs. Copyright 2008 ACM.","Inclusion:
  - Game based learning
  - English teaching
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - receptive-activation cycles
    - Visual
    - Sounds
  - Validation:
    - kindergarten and 1st-grade
  - Results:
    - Better results with clear educational goals",INC,2008,"Proceedings of the Conference on Designing Interactive Systems: Processes, Practices, Methods, and Techniques, DIS",,,Scopus
Designing location-based gaming applications with teenagers to address early school leaving,"Bates M., Saridaki M., Kolovou E., Mourlas C., Brown D., Burton A., Battersby S., Parsonage S., Yarnall T.","Early school leaving (ESL) is an urgent and serious problem, both for individuals and society as a whole. Factors such as learning difficulties, social problems or a lack of motivation, guidance or support all contribute to ESL, although the situation varies across EU countries. High rates of ESL are detrimental to making lifelong learning a reality and increase the risk of unemployment, poverty and social exclusion. Since normally there is not a unique reason for leaving education or vocational training, answers are no easy. In response to these concerns, the Code RED project (http://www.coderedproject. eu) has been created to address the high proportion of drop out from Initial Vocational Education and Training (IVET) and ESL in the UK, Greece, Italy and Cyprus via the development of new games-based learning applications (both desktop and mobile) to inform young adults (aged 16+) of the issues surrounding ESL. Location-based gaming (LBG) applications represent a form of play that is designed to be undertaken on a device in motion which changes the game experience based on the location. The design of these products presents many challenges to developers surrounding user interfaces, processing power and the availability of space. The ARIS platform (Augmented Reality and Interactive Storytelling) covers a broad field of LBG design components such as geo-location data, location-sensitive informational objects, interactive dialogues and QR code input. As such, ARIS has been selected by Code RED researchers to teach LBG and mobile augmented reality design concepts and prototype new design ideas with young adults. This paper will discuss the issues which are contributing to ESL within the EU and report upon the results of a short term participatory design initiative within Code RED to co-design new location-based gaming applications with participating IVET students (aged 14+) to address these issues. In the UK, participating students were successful in formulating a game concept suitable for transfer into LBG surrounding lifestyle choices such as alcohol and drug abuse which may contribute to ESL. In Greece, participating students with learning disabilities were successful in creating a fictional 'solve the mystery' LBG using the ARIS platform. Students decided to focus the game's narrative on the issue of exclusion from school and jumping into fast conclusions during schooling years. In Italy, participating children were successful in designing an orienteering-based LBG to promote cultural heritage via exploration of an ancient castle. This process also enabled participants to research and learn more about this local landmark. The paper will discuss the application of the participatory design methodology between project partners and will document the LBG output from this process. Finally, the paper will identify how these products will be positioned as part of future work to address ESL.","Inclusion:
  - Game based learning
  - Location based
Exclusion:
  - No topic related
Research Question:
  - Elements:
    - Search-and-Find
    - Follow-the-Path
    - Chase-and-Catch
  - Validation:
  - Results:",EXC,2015,Proceedings of the European Conference on Games-based Learning,2015-January,,Scopus
Designing location-based learning experiences for people with intellectual disabilities and additional sensory impairments,"Brown, David J.; McHugh, David; Standen, Penny; Evett, Lindsay; Shopland, Nick; Battersby, Steven","The research reported here is part of a larger project which seeks to combine serious games (or games-based learning) with location-based services to help people with intellectual disabilities and additional sensory impairments to develop work based skills. Specifically this paper reports on where these approaches are combined to scaffold the learning of new routes and ultimately independent travel to new work and educational opportunities. A phased development methodology is applied in a user sensitive manner, to ensure that user feedback drives the ongoing development process. Methods to structure this include group feedback on conceptual storyboards, expert review of prototypes using usability heuristics relating to the main system goals, and finally co-discovery methods with student pairs exploring all three modes of the system in real world contexts. Aspects of developmental and cognitive psychological theories are also reviewed and it is suggested that combining games-based learning approaches with location-based services is an appropriate combination of technologies for an application specifically designed to scaffold route learning for this target audience. Crown Copyright (C) 2010 Published by Elsevier Ltd. All rights reserved.","Inclusion:
Exclusion:
  - No topic related
Research Question:
  - Elements:
  - Validation:
  - Results:",EXC,2011,COMPUTERS & EDUCATION,56,1,WOS
Designing serious games for computer assisted language learning - teacher/learner perspectives and user-centered design,"Meyer B., Sørensen B.H.","In this paper we shall discuss the potential of educational games (Serious Games) for teaching and learning English online focusing on user engagement, performance and design. The focus of the paper will be on how the designed space of a platform for learning English in primary school (www.mingoville.com) produces teacher and learner participation and involvement in the context of a formal learning environment. How do teachers and learners respond to the educational design of the platform in question and how do they perform language learning through the game-based design of the platform? The paper will build on data from a research project, Serious Games on a Global Market Place (2007-2010) in which the Mingoville.com platform has been studied in the context of English as a foreign language in Danish primary schools. The initial research process - which was based on an analysis of the platform as well as interviews with developers - suggested that one of the challenges of developing a design for serious games in language education consists of renegotiating the educational games genre to balance drill-based exercises with contextualised simulations that involve fruitful thinking, real language interaction and learner engagement. The second phase of the research process (piloted in the spring of 2008) involved observations of user responses to the platform in schools as well as interviews with teachers and children. On the basis of the initial results from the pilot project we are proposing that performance and engagement through Serious Games for language learning should be understood in the context of gaming and learning as both separate and interconnected processes in which the teacher has a central role as mediator.",,404,2008,Proceedings of the European Conference on Games-based Learning,2008-January,,Scopus
Development and evaluation of peer feedback in the English quiz game design in social network,"Hwang J.-P., Wu T.-T., Huang Y.-M., Huang Y.-M.","In this study, we developed a game-based learning system on a social network platform to instruct customs and cultures in the English speaking countries in order to investigate the increase of learning willingness and motivation by using the digital game-based learning(DBGL) model. To determine the learning behaviors and results of the learning design which combines game-based and social network theories, this study involved students from an elementary school to implement a multi-player, real-time quiz game, known as 'Challenger', on the Facebook platform. As players, the learners can ""Call Out"" for help or assistance; however, online friends hold the decision of ""Replying"" or ""Not to Reply"" the players' ""Call Outs"". This mechanism is so called ""Peer Feedback"". Results of this study showed that the DGBL incorporated into a social network website is a feasible and sound model for teaching. By the model, English learning will become more interesting which makes students more enjoyable in learning auxiliary materials after school if they cannot fully comprehend the course in the classroom. By the outcome, we found peer influence seems not only motivates learner's participation in the game but also catalyze learning effectiveness. © 2012 IEEE.","Inclusion:
  - English teaching
  - Game based learning
Exclusion:
Research Question:
  - Elements:
    - Social network
    - Facebook
    - Online game
    - Clear goals
    - Rewards
    - Rank
    - Multiplayer mode
    - Honor roll
    - Feedback
    - Q&A
  - Validation:
    - Survey Teachers/Students
  - Results:
    - high interest
    - increase motivation",INC,2012,"Proceedings of the 12th IEEE International Conference on Advanced Learning Technologies, ICALT 2012",,,Scopus
Development of an english words learning system utilizes 3D markers with augmented reality technology,"Zhenming B., Mayu U., Mamoru E., Tatami Y.","Augmented Reality (AR) has been developed rapidly through recent years due to the increasing mobility and computing power of PC. And there are more and more AR applications have been developed for learning experiences. However, a great number of such AR applications work as merely textbook expansion by overlaying additional information on papers. In this research, we take advantage of the potential of AR to create a model that allows more dynamic interaction to reinforce the English word learning experience. A system can be interacted with intuitively through toy-like 3D objects by utilizing the affordances that AR provides. © 2017 IEEE.","Inclusion:
  - English teaching
  - Game based learning
Exclusion:
Research Question:
  - Elements:
    - AR
    - Real world objects
  - Validation:
  - Results:",EXC,2017,"2017 IEEE 6th Global Conference on Consumer Electronics, GCCE 2017",2017-January,,Scopus
Differences in serious game-aided and traditional English vocabulary acquisition,Yu Zhonggen,"A number of studies have been devoted to the effectiveness of serious gaming in English vocabulary learning, which has reported different results. Some studies support serious gaming in vocabulary learning, while others oppose. This study used a mixed-design research method through two experiments and two interviews to explore serious gaming in English (English as a foreign language) vocabulary learning. Data were collected from randomly selected participants, who were randomly assigned to three cohorts in both experiments: (1) Cohort A, where they learned English vocabulary through the more interactivity-prone serious games-Hujiang Fun Vocabulary in the first experiment and New Oriental Fun Vocabulary in the second experiment; (2) Cohort B, where they learned English vocabulary aided with the less interactivity-prone serious games-Baicizhan in the first experiment and Kingsoft Vocabulary in the second experiment; (3) Cohort C, where they learned English vocabulary through traditional approaches in both experiments. It is concluded that (1) the interactivity-prone serious gaming is significantly more effective than the less interactivity-prone serious gaming in English vocabulary learning at the significance level p = .05; (2) the less interactivity-prone serious gaming is significantly more effective than the traditional approach in English vocabulary learning at the significance level p = .05; (3) males significantly outperformed females in serious game-aided English vocabulary learning at the significance level p = .05. We also discussed the features that should be considered when a serious game is designed to assist English vocabulary learning. Future research directions were suggested that serious gaming in English vocabulary learning be integrated into interdisciplinary research such as cooperation between computer science, education, psychology, applied linguistics and statistics.","Inclusion:
  - English teaching
  - Game based learning
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - Vocabulary acquisition
    - Peer interaction
    - Competition
    - Peer collaboration
  - Validation:
    - Experimental/Control group
    - Pre/post tests
    - Survey
  - Results:
    - Interactivity plays an important role in serious games",INC,2018,COMPUTERS & EDUCATION,127,,WOS
"Digital Game-Based Learning for Improving Students' Academic Achievement, Learning Motivation, and Willingness to Communicate in an English Course","Yeh Y.-T., Hung H.-T., Hsu Y.-J.","In light of the educational value of digital games that has been widely reported in science and social studies, this research hopes to extend the literature on digital game-based learning (DGBL) to the field of language education by investigating English language learners learning outcomes after playing a technology-enhanced board game (TEBG), featuring the use of quick response codes to connect physical board gaming pieces and digital content. To this end, a one-factor posttest-only experiment involving two groups of university students was carried out in a period of three weeks. The results indicated that the proposed DGBL approach, along with the supporting materials in the form of TEBG, was effective for promoting the students English learning performance, English learning motivation, and willingness to communicate in English. Briefly, this study supports the idea that applying a DGBL approach in English classrooms can generate favorable student learning outcomes. © 2017 IEEE.","Inclusion:
  - English teaching
  - Game based learning
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - Board game
  - Validation:
    - Experimental/Control group
    - post tests
    - Survey
  - Results:
    - Higher scores
    - Higher motivation
    - Higher willingness",INC,2017,"Proceedings - 2017 6th IIAI International Congress on Advanced Applied Informatics, IIAI-AAI 2017",,,Scopus
Digital learning game scenario: A pedagogical pattern applied to serious game design,"Hotte R., Ferreira S.M., Abdessettar S., Gouin-Vallerand C.","The design of educational Serious Games (SG) remains a difficult operation which requires a tight weave between practices in instructional design and game design to be effective. Despite excellent works in the domain, the balance problem increases more significantly in the mobile learning system development such as Kids Smart Mobile School (KSMS) as a SG. KSMS is a school that aims to provide learning from K to 12 in Math and English as a Second Language to children without access to school in developing countries. This paper proposes a solution by designing a pedagogical pattern of a Learning Game Scenario, based on the educational Montessori approach mixed up with instructional engineering technique. This pattern is applicable to the various learning phases, making up the structure cognitive and pedagogical of KSMS. Moreover, this paper indicates how this pedagogical pattern makes easier the communication between members of an interdisciplinary team in different phases of design and development. © 2017 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.",,404,2017,CSEDU 2017 - Proceedings of the 9th International Conference on Computer Supported Education,2,,Scopus
"Doctoral Student Consortium (DSC) - Proceedings of the 22nd International Conference on Computers in Education, ICCE 2014",[No author name available],"The proceedings contain 11 papers. The topics discussed include: circuitously collaborative learning environment to enhance metacognition; cycling student-centered digital materials as model of enhancing active learning environment; ubiquitous learning logs analytics; location based context-aware support for second language learning using ubiquitous learning lots; a framework for mobile learning for the enhancement of learning in higher education; designing interactive comics to affect time perception; connecting aesthetics and critical thinking in game based learning; the above-average effect and its implications on feedback design for educational game systems; framework to refashion existing drill materials to support Japanese language learners: enhancement of meaningful practice with motivation, inputting, and outputting; and exploring the pedagogical use of social learning platforms in tasks of self-editing and peer-assessment for enhancing English writing competence among elementary ESL learners.","Inclusion:
Exclusion:
  - Conference Proceedings
Research Question:",EXC,2014,"Doctoral Student Consortium (DSC) - Proceedings of the 22nd International Conference on Computers in Education, ICCE 2014",,,Scopus
Educational design of serious games - In the research field of computer-assisted language learning,"Meyer B., Sørensen B.H.","In this paper we shall discuss the potential of serious games for teaching and learning languages online. As suggested by for instance Warschauer (2004) computer-assisted language learning (CALL) may have a profound influence on the ways in which languages are learned and taught, as CALL may support the need of language learners to use languages in meaningful contexts to have a real impact on the world. The issue for language education may therefore be to explore the potential of online games for simulated or real interaction that includes learners' own production of language in protected settings. The paper will build on data from a research project, Serious Games on a Global Market Place (2007- 2010), funded by the Danish Council for Strategic Research, in which an online game-based platform for teaching and learning English (www.Mingoville.com) has been studied in the context of English as a second language in Danish primary schools. The initial research process - which was based on an analysis of the platform as well as interviews with developers - suggested that one of the challenges of developing a design for serious games in language education consists of renegotiating the educational games genre to balance drill-based exercises with contextualised simulations that involve fruitful thinking, real language interaction and student engagement. One hypothesis of the project is, following the initial research and drawing on previous research in the field, that the process of designing serious games for CALL may significantly benefit from involving children's own experiences with using languages (primarily English) online for gaming and interacting. The paper will suggest ways of incorporating these experiences into the educational design of game-based material for CALL.",,404,2008,"Computer Games and Allied Technology 08, CGAT 08 - Animation, Multimedia, IPTV and Edutainment, Proceedings",,,Scopus
Effects of anxiety levels on learning performance and gaming performance in digital game-based learning,"Yang, J. C.; Lin, M. Y. D.; Chen, S. Y.","Anxiety plays an influential role in foreign language learning. However, a lack of attention was paid to examining the effects of anxiety levels on learning performance and gaming performance in digital game-based learning. To this end, this study developed a game-based English learning system and investigated how different levels of anxiety affected learners' learning performance and gaming performance. A quasi-experiment was conducted in an elementary school. The results showed that high-anxiety learners performed worse than low-anxiety learners in speaking, word/sentence match, and overall learning performance. However, they performed similarly in listening performance. Moreover, the results showed that high- and low-anxiety learners demonstrated a similar level of gaming performance. A subsequent analysis showed that significant correlations existed between learning performance and gaming performance for learners with high anxiety whereas such positive correlations were rarely found for learners with low anxiety, indicating that high-anxiety learners' learning performance could be fostered by their gaming performance. The findings suggested that digital game-based learning was particularly beneficial to high-anxiety learners, whose gaming performance was a facilitative factor of their learning performance.","Inclusion:
  - English teaching
  - Game based learning
Exclusion:
Research Question:
  - Elements:
    - Speaking
    - Listening
    - Vocabulary acquisition
    - Cards game
    - Freedom
    - Feedback
    - Challenge
    - Rewards
  - Validation:
  - Results:",INC,2018,JOURNAL OF COMPUTER ASSISTED LEARNING,34,3,WOS
"Effects of Design Factors of Game-Based English Vocabulary Learning APP on Learning Performance, Sustained Attention, Emotional State, and Memory Retention","Hsu C.-F., Chen C.-M., Cao D.","Numerous studies have confirmed that increasing vocabulary size is a critical part of learning English as a foreign language (EFL). In recent years, game-based learning has been identified as a promising means of acquiring and retaining knowledge. The rapid development of mobile technologies has forced instructors to consider the potential of Mobile-Assisted Language Learning (MALL). As a result, this work assesses the effects of two different game-based English vocabulary learning apps with significantly different game design factors on learners performance, sustained attention, relaxation, and vocabulary retention. A total of 36 Grade 12 students from Matsu Senior High School, Taiwan, who participated in this study were randomly divided into two experimental groups, which were balanced for the distribution of gender and pretest scores. The learners in the two experimental groups learned English vocabulary for four weeks using two game-based English vocabulary learning apps with significantly different game design factors. Analytical results reveal that learners who used games with weak game design factors exhibited significantly better vocabulary learning performance, retention, and relaxation than those who used games with strong game design factors, and their level of sustained attention was lower. This work verifies that gender differences existed between the two game-based English vocabulary learning apps with different game design factors. Girls achieved significantly better English vocabulary learning and retention in the game APP with weak game design factors. Additionally, based on an interview with several research participants, matching of the challenge to player skill and feedback were the most important game design factors in game-based English vocabulary learning apps. In summary, a more exciting game does not favor cognitive learning, including English vocabulary learning. © 2017 IEEE.","Inclusion:
  - English teaching
  - Game based learning
Exclusion:
Research Question:
  - Elements:
    - clear goals
    - Challenge
    - feedback
    - Peer collaboration
    - Vocabulary acquisition
  - Validation:
    - Pre/Post tests
    - Experimental group
    - Survey
  - Results:
    - Higher knowledge with simple game
    - Higher motivation with complex game
    - Girls outperformed with simple game",INC,2017,"Proceedings - 2017 6th IIAI International Congress on Advanced Applied Informatics, IIAI-AAI 2017",,,Scopus
Effects of mobile game-based English vocabulary learning app on learners' perceptions and learning performance: A case study of Taiwanese EFL learners,"Yen L., Chen C.-M., Huang H.-B.","Many previous studies confirmed that vocabulary size plays a key role in the learning processes of English as a foreign language (EFL), and the repetition strategy is still the most widely-used strategy for vocabulary learning. However, it has long been argued that the repetition strategy may make learners passive, or even indifferent, to their vocabulary learning. With the rapid development of information and communication technology (ICT), mobile game-based learning (MGBL) has been considered as a promising scheme for assisting learners in successfully acquiring and retaining knowledge. Thus, this study assesses the effects of utilizing PHONE Words, which is a novel mobile English vocabulary learning APP designed with game-related functions (MEVLA-GF) and without game-related functions (MEVLA-NGF), as a learning tool on learners' perceptions and learning performance. During the four-week experimental treatment, twenty sophomore students from the College of Liberal Arts of National Chengchi University were recruited as the research subjects and were randomly and averagely assigned into the experimental group using MEVLA-GF and the control group using MEVLA-NGF for vocabulary learning. Analytical results show that the learning performance of vocabulary acquisition and vocabulary retention in the experimental group were both significantly higher than those of control group. Moreover, results of the questionnaire survey confirm that MEVLA-GF generates higher effectiveness and satisfaction of facilitating English vocabulary learning than MEVLA-NGF does. Results of Pearson correlation analysis show that learners' involvements and dependence on gamified functions of MEVLA-GF were positively correlated with their vocabulary learning performance.",,404,2016,"Proceedings of the International Conference on e-Learning, ICEL",2016-January,,Scopus
Effects of prior knowledge on cognitive learning outcomes within an english learning multiplayer online role-playing game,"Yang J.C., Hsu H.F.","This study developed an English learning online role-playing game targeting knowledge of vocabulary and sentence patterns, and conducted an experimental study of 55 aged 12 sixth-grade students using this game to investigate how the learner characteristic, in terms of prior English ability, influences cognitive learning outcomes. Although there have been studies examining the effectiveness of online games on cognitive learning outcomes in education, there is still little consensus on the learning effectiveness of game-based learning. Factors such as learner characteristics should be taken into consideration while designing educational games since individual differences may affect willingness of learners to better performance within a game-based learning environment. By analyzing the data collected from achievement tests, it was found in this study that students' prior knowledge could be a key factor that collectively influences the effectiveness of knowledge acquisition in game-based learning. The results of this study may help educators consider how effectively utilizing an MMORPG-based educational game for enhancing students' learning effectiveness in game-based learning. © 2013 IEEE.","Inclusion:
  - English teaching
  - Game based learning
Exclusion:
Research Question:
  - Elements:
    - MMORPG
    - Peer communication
    - Q&A
  - Validation:
    - Pre/post tests
    - Experiment group
  - Results:
    - Higher scores
    - High-level students outperform low-level",INC,2013,"Proceedings - 2nd IIAI International Conference on Advanced Applied Informatics, IIAI-AAI 2013",,,Scopus
Effects of Prior Knowledge on Learning Performance and Anxiety in an English Learning Online Role-Playing Game,"Yang, Jie Chi; Quadir, Benazir","The great value of applying digital games in language learning has been highlighted. However, there has been a lack of attention paid to the effects of prior knowledge in a contextual game-based language learning environment. To this end, this study developed an MMORPG-based educational game to facilitate English learning, aiming at investigating how students' different levels of prior knowledge, in terms of their prior English ability and online gaming experience, affect their learning performance and anxiety. The results showed that the high English ability students significantly outperformed those with low English ability, the low online gaming experience students significantly outperformed those with high online gaming experience, and the low English ability students experienced significantly higher degrees of anxiety than those with high English ability. Furthermore, the results showed that prior English ability was positively correlated to learning performance but negatively correlated to anxiety, and anxiety was negatively correlated to learning performance. These findings suggest that a contextual game-based learning environment can be exploited as a useful tool to support language learning; however, the learning performance and anxiety created by the environment were affected to varying degrees by the levels of students' prior knowledge.","""Inclusion:
  - English teaching
  - Game based learning
Exclusion:
Research Question:
  - Elements:
    - MMORPG
    - Peer communication
    - Q&A
  - Validation:
    - Pre/post tests
    - Experiment group
  - Results:
    - Higher scores
    - High-level students outperform low-level""",INC,2018,EDUCATIONAL TECHNOLOGY & SOCIETY,21,3,WOS
Effects of the Badge Mechanism on Self-Efficacy and Learning Performance in a Game-Based English Learning Environment,"Yang J.C., Quadir B., Chen N.-S.","A growing number of studies have been conducted on digital game-based learning (DGBL). However, there has been a lack of attention paid to individuals' self-efficacy and learning performance in the implementation of DGBL. This study therefore investigated how the badge mechanism in DGBL enhanced users' self-efficacy in the subject domain of English as a foreign language. In the study, a digital game-based English learning environment was designed with a badge mechanism including digital badges, leaderboard ranking, and learning practice with star icons. A quasi-experimental design was implemented. A total of 50 third-grade elementary school students participated in this study. Hypotheses were tested, and data were analyzed using paired sample t tests, multiple regression analyses, linear regression analyses, and logistic regression analyses. The results show that the badge mechanism had a significant positive influence on the learners' self-efficacy and English learning performance. The study also investigated how self-efficacy could affect English learning performance, with the results revealing that it had a significant positive influence on learning performance. In addition, a subsequent analysis showed that those students with higher self-efficacy performed better than those with lower self-efficacy. © 2016 The Author(s).","Inclusion:
  - English teaching
  - Game based learning
Exclusion:
Research Question:
  - Elements:
    - Rewards
    - MCQs
    - Ranking
  - Validation:
  - Results:",INC,2015,Journal of Educational Computing Research,54,3,Scopus
EFL learning media for early childhood through speech recognition application,"Satria F., Aditra H., Wibowo M.D.A., Luthfiansyah H., Suryani M., Paulus E., Suryana I.","In Indonesia, English language use as a foreign language (EFL) and become one of the major subject since elementary school till the university. Sometimes it's hard to teach English language only by speech, especially to the young learner. Based on it, game-based learning combined with speech recognition has been developed. The proposed game helps and facilitates the children to learn English and introducing children to various animal themes. The game is packed in a fun and interesting concept in a form of an interactive game so that learning process could be more effective and not only to help them learn faster but also entertaining them in the process. This game is operated by using speech recognition and use Kinect as its main platform to interact with. This was chosen as the main way to interact with the application so that children can not only play the game but also improve their English pronunciation and vocabulary. The game also tested to the 30 respondents to know the usability of the system and the motivation to learn. Based on the experiments, the results showed that all respondents agreed that the proposed game has a good usability. It can be seen from the average of central tendency value that reaches about 4.38. Based on the results, we concluded that the proposed game-based learning gave new experiences, easy to use, and became fun alternative for young learners to study the EFL. © 2017 IEEE.","Inclusion:
  - English teaching
  - Game based learning
Exclusion:
Research Question:
  - Elements:
    - Kinect
    - Speech recognition
    - kids
  - Validation:
    - Survey
    - Post test
    - Interview
  - Results:
    - Improve pronunciation
    - Physical movement useful",INC,2018,"Proceeding - 2017 3rd International Conference on Science in Information Technology: Theory and Application of IT for Education, Industry and Society in Big Data Era, ICSITech 2017",2018-January,,Scopus
ENHANCING ENGLISH LANGUAGE LEARNERS' MOTIVATION THROUGH ONLINE GAMES,"Iaremenko, Nataliia V.","In this article, we examine the potentials of online games which teachers can employ in order to motivate their students and summarize the positive effects of playing learning games. The study addresses the question of how gamified learning is applicable to learning English as a second language. The other research questions refer to the reasons that make language learners want to play a learning game and the influence of particular game elements onto players. All of these questions are investigated on the example of Kahoot web resource. The study suggests that online learning games can foster intrinsic motivation and help engage students in learning activities. The use of online games in English as a second language learning shows the direct relationship between a high energy level of fun competition and increased motivation.","Inclusion:
  - Game based learning
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Online games
    - Kahoot
  - Validation:
    - Survey
  - Results:
    - motivation increase",INC,2017,INFORMATION TECHNOLOGIES AND LEARNING TOOLS,59,3,WOS
Evaluating listening and speaking skills in a mobile game-based learning environment with situational contexts,"Hwang, Wu-Yuin; Shih, Timothy K.; Ma, Zhao-Heng; Shadiev, Rustam; Chen, Shu-Yu","Game-based learning activities that facilitate students' listening and speaking skills were designed in this study. To participate in learning activities, students in the control group used traditional methods, while students in the experimental group used a mobile system. In our study, we looked into the feasibility of mobile game-based learning activities. One experiment was carried out and the results revealed that the experimental-group students significantly outperformed the control-group students on the verbal post-test. However, the performance of the two groups was equal on the listening post-test. Two variables (the average score for the interactive jigsaw game and the number of designed cards) were found to be the most important factors for influencing students' performance in the verbal post-test. Furthermore, most students had positive perceptions toward learning activities that are supported by a mobile system. These results suggest that game-based learning activities can significantly improve students' speaking skills if driven by a mobile system. Furthermore, these results suggest that learning activities with a mobile system foster students to (1) practice speaking English as a foreign language (EFL) more frequently as well as to reflect on their speech; (2) create meaningful sentences and speak with greater accuracy and confidence; and (3) practice speaking EFL in an authentic context.","Inclusion:
  - Game based learning
  - English teaching
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - Listening
    - Speaking
    - Puzzle
  - Validation:
    - Control/Experimental group
    - Pre/Post tests
    - Survey
    - Interviews
    - ARCS
  - Results:
    - Positive perceptions
    - Verbal knowledge increase
    - Skills increase",INC,2016,COMPUTER ASSISTED LANGUAGE LEARNING,29,4,WOS
Evaluating the Effectiveness of English Speaking and Learning Attitude for Elementary Students in a Digital Game-Based Learning Environment,"Yang F.-C.O., Chen H.-H., Wu W.-C.V., Yang J.C.","This study developed a digital game-based English learning system, named UAnimation, and conducted an experiment to evaluate the speaking ability of the learners by using the system. One hundred and five fifth-graders from four intact classes in an elementary school in Taiwan were recruited to participate in the experiment. The experimental group learned English speaking with the proposed UAnimation whereas the control group used traditional methods to learn English speaking, such as reading aloud in pairs or in groups. Although the results showed that both the digital game-based English animation learning system and traditional teaching methods did could enhance the learners English speaking, further comparisons, also indicated that students in the experiment group out performed those in the control group and became more active learners when learning English. In conclusion, the UAnimation not only enhanced the students English speaking but also helped them develop a more positive attitude about English learning. © 2017 IEEE.","Inclusion:
  - Game based learning
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Speaking
    - Audio-Lingual Method
    - Observational Learning
    - Situated Learning
    - Peer feedback
    - Sound recording
    - Storytelling
  - Validation:
    - Control/Experimental group
    - Pre/Post tests
    - Survey
    - Interviews
  - Results:
    - Positive perceptions
    - Engagement increase
    - Knowledge increase",INC,2017,"Proceedings - 2017 6th IIAI International Congress on Advanced Applied Informatics, IIAI-AAI 2017",,,Scopus
Examining a Massive Multiplayer Online Role-Playing Game as a Digital Game-Based Learning Platform,"Wu M.L., Richards K., Saw G.K.","A concurrent triangulation mixed-method research design was used to investigate 19 casual gamers' or non-gamers' use of a popular massive multiplayer online role-playing game (MMORPG), Everquest 2, as an alternative pedagogical tool to support communicative use of the English language. This study poses that MMORPGs could serve as a virtually rich context for social interactions to aid development of communicative competence. Data were collected from semi-structured interviews, surveys, and through gameplay observations in Taiwan and the United States. Analysis of interview recordings, survey data, and observational data focuses on how player-generated perceptions align with Yee's (2006) motivation components and Ryan and Deci's (2000) theoretical assumptions of self-determination theory. Results from quantitative data analysis showed that both male and female participants in this study prioritized the importance of relatedness in playing Everquest 2 to practice using English for communicative purposes. Qualitative data analysis likewise revealed the importance of communication during gameplay. Integrated findings showed that player perceptions could be helpful in illuminating the potential of utilizing MMORPGs for game-assisted language learning and also inform different motivations in gaming to learn. © Taylor & Francis Group, LLC.","Inclusion:
  - Game based learning
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - MMORPG
    - social interaction
    - communicative competence
  - Validation:
    - Survey
    - Interviews
  - Results:
    - Social interaction improve
    - Motivation improve
    - Engagement improve",INC,2014,Computers in the Schools,31,1-2,Scopus
Exploring digital nativeness as a predictor of digital game-based L2 vocabulary acquisition,Calvo-Ferrer J.R.,"Although the “digital natives” theory is still used to justify the implementation of technologies such as video games in the language classroom, whether digital nativeness (i.e. the extent to which an individual embodies the characteristics attributed to digital natives) may be used as a predictor of digital game-based learning outcomes is to be analysed. An empirical study was conducted to test the predictive strength of some attributes of digital nativeness, as determined by Teo’s (2013) Digital Native Assessment Scale, on L2 vocabulary acquisition and on educational engagement. A vocabulary learning game was played by 86 university EFL students, who additionally completed post- and delayed knowledge tests on the vocabulary contained in the game, the DNAS questionnaire, and questions on educational disengagement and perceived need for technology-related changes. The regression analysis revealed that the factor “able to multitask” was a predictor of poorer L2 vocabulary acquisition, whereas the factors “comfortable with technology” and “thrive on instant gratifications and rewards” had a positive impact on learning outcomes. Additionally, the analysis showed that none of the attributes of digital natives that make up the DNAS could predict either students’ disengagement with the educational system or their perceived need for technology-based changes in education. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","Inclusion:
  - Game based learning
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Vocabulary acquisition
    - ARCS
    - RETAIN model
    - EGameFlow
  - Validation:
    - Survey
    - Post test
  - Results:
    - digital nativeness increase scores",INC,2018,Interactive Learning Environments,,,Scopus
