Title,Notes,Inc/Exc
Taking an instrumental genesis lens: New insights into collaborative mobile learning,"Inclusion:
  - English teaching
  - DGBL
Exclusion:
Research Question:
  - Elements:
    - Kahoot
  - Validation:
    - Experimental groups
    - Survey
  - Results:
    - Collaboration needs to be designed",INC
Teachers can be involved in the design of location-based learning games: The use of the puzzle board metaphor,"Inclusion:
  - DGBL
  - Geolocation
Exclusion:
Research Question:
  - Elements:
    - Puzzle
    - Board
    - Slots
    - Score
    - Feedback
    - Bonus
    - Hints
    - QuesTInSitu
  - Validation:
    - Teachers designs
    - Teachers ratings
  - Results:
    - Teachers agreed with the proposed metaphor",INC
Teachers' thoughts on the integration of computer games in the ESL classroom in Nigeria,,404
Teaching articles to ESL learners with GBL and scaffolding,,404
The added value of a gaming context and intelligent adaptation for a mobile learning application for vocabulary learning,"Inclusion:
  - DGBL
  - English teaching
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - Adaptability
    - Vocabulary
    - MCQ
    - Picture select
    - Puzzle
    - Rewards
    - Storyline
  - Validation:
    - Pre/post tests
    - Control/Experimental group
  - Results:
    - Knowledge increase",INC
The design of a web 2.0 based vocabulary learning system for EFL learners,"Inclusion:
  - DGBL
  - English teaching
  - Web
Exclusion:
  - No validation
  - Technical information
Research Question:
  - Elements:
    - Vocabulary
    - Collaborative
    - Match game
  - Validation:
  - Results:",INC
The design of IWB-based DGBL activities model for EFL preschoolers,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
  - No validation
Research Question:
  - Elements:
    - IWB (Interactive whiteboard)
    - Sound
    - Clear goals
    - Learner centered
  - Validation:
  - Results:",INC
The effect of an augmented reality board game on english vocabulary development,,404
The effect of augmented reality games on English as foreign language motivation,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Augmented reality
    - AURASMA
    - Follow instructions game
    - Listening
    - Treasure hunt
  - Validation:
    - Survey
  - Results:
    - Motivation improve",INC
The Effect of Computer Game-Based Learning on FL Vocabulary Transferability,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Vocabulary
  - Validation:
    - Pre/post test
    - Control/Experimental group
  - Results:
    - Knowledge improve",INC
The effect of Learning Community for Game-Based English Learning,,404
The effect of length of exposure to CALL technology on young Iranian EFL learners' grammar gain,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Grammar
    - Colorful images
    - Sound
    - Match game
    - Feedback
  - Validation:
    - Pre/Post tests
    - Control/Experimental group
  - Results:
    - Learning outcomes increase
    - More time more learning",INC
The Effective English Language Teacher from the Perspectives of Turkish Preparatory School Students,"Inclusion:
  - DGBL (mentioned)
  - English Teaching
Exclusion:
  - No related with DGBL
Research Question:
  - Elements:
  - Validation:
  - Results:",EXC
The Effectiveness of Self-Directed English Learning through SNS: Adopting Facebook based on Gamification,"Inclusion:
  - DGBL
  - English Teaching
Exclusion:
Research Question:
  - Elements:
    - Social Networks
    - Facebook
    - Reading
    - Listening
  - Validation:
    - Survey
  - Results:
    - Positive comments",INC
The Effects of Digital Game Play on Second Language Interaction,"Inclusion:
  - DGBL
  - English Teaching
Exclusion:
Research Question:
  - Elements:
    - MMORPG
    - Mission
    - Rewards
    - Competition
    - Chats records
  - Validation:
    - Experimental group
    - Observation
  - Results:
    - English use increase
    - Learning outcomes increase",INC
The game genre factor in computer games based learning,"Inclusion:
  - DGBL
  - English Teaching
Exclusion:
  - Studies review
  - Comparing gaming styles with grades
Research Question:
  - Elements:
  - Validation:
  - Results:
    - Players of MMORPG have better scores",INC
THE NECESSARY CONDITIONS FOR COMPLEX EMERGENCY IN GAMES: A STUDY ON OPPORTUNITIES OF LEARNING IN THESE SOCIAL PRACTICES,"Inclusion:
Exclusion:
  - Portugues
Research Question:
  - Elements:
  - Validation:
  - Results:",EXC
The relative effectiveness of digital game-based learning types in English as a foreign language setting: A meta-analysis,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
  - Review
  - Practice vs engaging games
Research Question:
  - Elements:
  - Validation:
  - Results:",INC
The use of emerging technologies by EFL teachers in primary schools,,404
The utility of the grem model in designing an empirically researched e-learning tool,,404
Towards an efficient mobile learning games design model,"Inclusion:
  - DGBL
  - English teaching
  - Mobile
Exclusion:
  - Review
Research Question:
  - Elements:
    - Roles
    - Maps
    - Cooperative
    - Collaborative
    - Treasure hunt
  - Validation:
  - Results:",INC
Transmedia storytelling and the creation of a converging space of educational practices,"Inclusion:
  - DGBL
  - Geolocation
Exclusion:
  - Review
Research Question:
  - Elements:
    - Storytelling
    - Replay
    - Mobility
    - Access
  - Validation:
  - Results:",INC
Understanding students' learning behavior outside of the classroom,"Inclusion:
  - DGBL
  - Geolocation
Exclusion:
Research Question:
  - Elements:
    - Teacher interface
    - Location questions
  - Validation:
    - Control/Experimental group
  - Results:
    - Students willing increase",INC
Unmasking the Mystique: Utilizing Narrative Character-Playing Games to Support English Language Fluency,,404
Using audio in location-based educational games,,404
Using augmented reality to teach kindergarten students english vocabulary,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Augmented reality
    - Learning analytics
    - Vocabulary
    - Spelling game
  - Validation:
    - Survey
  - Results:
    - Learning outcomes increase",INC
Using digital games as a learning and teaching tool in hong kong classrooms,,404
Using native tongue mnemonics to enhance English learning,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - User centered design
    - mnemonics for vocabulary
  - Validation:
    - Experimental group
  - Results:
    - Faster learning",INC
Using ubiquitous games in an English listening and speaking course: Impact on learning outcomes and motivation,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - ARCS
    - Ubiquitous
    - Clear goals
    - Treasure hunt
    - Listening
    - Speaking
    - Collaborative
    - Augmented reality
  - Validation:
    - Control/Experimental group
    - Survey
    - Pre/post tests
  - Results:
    - learning outcomes increase
    - Students motivation increase",INC
VIRGE: Tutoring English over the Web through a game,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
  - Not validation
Research Question:
  - Elements:
    - Virtual reality
    - Learning analytics
  - Validation:
  - Results:",INC
Vocabulary and grammar gain through computer educational games,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Vocabulary
    - Grammar
  - Validation:
    - Control/Experimental group
    - Pre/post tests
  - Results:
    - Students motivation increase",INC
VocaMono: An online multiplayer English vocabulary learning board game,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
  - Not validation
Research Question:
  - Elements:
    - MMORPG
    - Board game
    - Vocabulary
    - Competitive
    - Spelling game
    - Scores
  - Validation:
  - Results:",INC
VR-Based Gamification of Communication Training and Oral Examination in a Second Language,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Virtual reality
    - Competitive
    - Grammar
    - Collaborative
  - Validation:
    - Experimental group
  - Results:
    - Students motivation increase
    - Learning outcomes increase
    - Communication increase",INC
"Workshop Proceedings of the 23rd International Conference on Computers in Education, ICCE 2015",,EXC
ZooQuest: A mobile game-based learning application for fifth graders,"Inclusion:
  - DGBL
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Vocabulary
    - GPS
    - Puzzle
    - Memory
    - MCQ
    - Spelling game
    - RPG
  - Validation:
    - Control/Experimental group
    - Pre/post tests
    - Survey
  - Results:
    - Students motivation increase
    - Learning outcomes increase",INC
